,count,hate_speech,offensive_language,neither,class,tweet
50,3,1,2,0,1, we dont trust se niggas all se bches 
51,3,0,3,0,1, yall niggas cuffing hoes cause yall aint never have bches 
52,3,0,3,0,1, you dodge bullet  &#128517; &#8220;@DaRealKha: All da bches cut off pregnant or bound to be thank God &#128591;&#8221;
53,3,0,3,0,1, young Pill Chamberlain se bches love my music 
54,3,0,2,1,1,&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of se twter hoes but
55,3,0,3,0,1,&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldnt wa to act like bches tonight
56,3,0,3,0,1,&#128514;&#128514;&#128514;@_Paradox: And ima steal cat replace  wh pbull &#128514;&#128514;&#128514;&#128514;  @80sbaby4life: @_Paradox He bch you should do 
57,3,0,3,0,1,&amp; hes gone always be hoe
58,3,0,3,0,1,"Son of bch took my Tic Tacs

like th movie"
59,3,0,3,0,1,All wanna do  get money and fuck model bches - Russell Simmons
60,3,0,2,1,1,@2015seniorprobs: probably wouldn&#8217;mind school as much if we didn&#8217;have to deal wh bch ass teachers Retweet
61,3,0,3,0,1,@A7XDemery: Im fucking fag said
62,3,0,3,0,1,@ARIZZLEINDACUT: Females think dating pussy  cute now http://tco/VxBJg26Gsz how does doing th stuff make him pussy
63,3,0,0,3,2,@Addicted2Guys: -SimplyAddictedToGuys http://tco/1jL4hi8ZMF woof woof hot scally lad
64,3,0,3,0,1,@AdoreBellaaa: Have ya ever asked your bch for or bches - kanye voice Yes
65,3,0,3,0,1,@AdoreZoey: How gone bring ur side bch to game where You know Ya gf friends at  &#128553;&#128553;&#128553;&#128553; SWEAR
66,3,0,1,2,2,@AllAboutManFeet: http://tco/3gzUpfuMev woof woof and hot soles
67,3,0,1,2,2,@Allyhaaaaa: Lemmie eat Oreo &amp; do se dhes One oreo Lol
68,3,0,3,0,1,@Almightywayne__: @JetsAndASwher @Gook____ bch fuck http://tco/pXmGA68NC1 maybe youll get better Just http://tco/TPreVwfq0S
69,3,1,2,0,1,@Almightywayne__: Fuck Red Malone man bch ass niggah could you please use complete sentences
70,3,0,0,3,2,@ArizonasFinest6: Why  eggplant emoji doey he say she looked like scream lmao
71,3,0,3,0,1,@AutoWorId: Hennessey Venom GT &#128584; http://tco/i8eGMnKaJ9 thats one sexy bch
72,3,0,3,0,1,@BOSSBYTCHH: Him seh me pussy wetter shower cuain#ahmesehwetness&lt;lmao
73,3,0,3,0,1,@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic just posted because that bch just said  most ract sh
74,3,1,2,0,1,"@BVSEDCHINK: Yo fuck skateboarding all yall some wood pushing faggots man ball  life http://tco/VBCzP6HMT7
@AmJemieBenn"
75,3,0,1,2,2,"@BabyAnimalPics: baby monkey bathtime http://tco/7KPWAdLF0R
Awwwwe Th  soooo ADORABLE"
76,3,0,3,0,1,@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; aint sh  Damn Skippy lol
77,3,1,2,0,1,@BeEasyJrizzy: ever kill ant on  sidewalk and think damn what if that nigga was on way to get some pussyNo bs must &gt;30%chance
78,3,0,3,0,1,@BeenBasedB: @_KudaBrazyy http://tco/LuUBGL9Y5u 0 rings 0 mvps 0 bches lol
79,3,1,2,0,1,@BeenFLYnSolo: ppl talk bad about  ghetto/hood  but as kid growing up nigga had funnnnnnn 
80,9,0,7,2,1,@BestProAdvice:  facts on tattoostattoo http://tco/ZwnbhpDZ8e hes pussy wh not tattooing nipples
81,3,0,3,0,1,@Bill215_: &#128175;&#128175;&#128175;  @nel_ayden Bches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that sh aint cuteeeee but niggas act like bches
82,3,0,3,0,1,@BchJones92: Get worshiping bch http://tco/R37CejCjou woof woof
83,3,1,2,0,1,@BlackChiqua: Wow  @thatmanpalmer Im lost Are those buttcheek piercings http://tco/yn6guyOUQ6 yeah shes hoe
84,3,0,3,0,1,@BlackNerdJade: Ok Shed rar be broke bch *shrugs* shell have to tell me how  works for her
85,3,2,1,0,0,@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer gaywad
87,3,0,3,0,1,@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat  wasnt even funny lol
88,3,0,3,0,1,@BrosConfessions: Th bch was so ungrateful http://tco/06e77bGwbx fr  LULWHORE
89,3,0,3,0,1,@CASHandBOOBIES: been kidnapped yo bch
90,3,3,0,0,0,@CB_Baby24: @whe_thunduh alsarabsss hes beaner smh you can tell hes mexican
91,3,1,2,0,1,@CCobey: @AydanMcCoy happy bihday nigs Thanks yo
92,6,1,5,0,1,@CHlLDHOODRUINER: when ur teacher tells that have homework https://tco/RKk5vawIj1 th bch need to go
93,3,1,2,0,1,@CaelanG15: @22EdHam: @CaelanG15 that nigga was eating that hoe lol Hell Yea lol john Paul nigga said john paul http://tco/OSIpBKPr9h
94,3,0,3,0,1,@CanIFuckOrNah: What would yall lil ugly bald headed bches do if stop making make-up &amp; weave
95,3,1,2,0,1,@CarelessOne92: Leafs better win th damn game so can go riot and sh #EarlyChmas you better sta looting my nig
96,3,0,3,0,1,@CauseWereGuys: Going back to school sucks more dick than  hoes who attend 
97,3,0,3,0,1,@CauseWereGuys: On my way to fuck yo bch http://tco/j906T5zE2R me as 9 year old
98,3,0,3,0,1,@CeleyNichole: @whe_thunduh how come you never bring me food dont have car retard
99,3,0,3,0,1,@ChadMFVerbeck: If Richnow doesnt show up wh hella tinder hoes Im not friend anymore chill brought like like 8 prople
100,3,1,2,0,1,@ChandlerParsons: How bout Cowboys Shutup pussy
101,3,0,3,0,1,@ClicquotSuave: LMAOOOOOOOOOOO th nigga @Krillz_Nuh_Care http://tco/AAnpSUjmYI &lt;bch want likes for some depressing shfoh
102,3,0,3,0,1,@Coley_Cee: @lil_aerii girl you know was spting that sh to you &amp; you was going lbvsbch plz
103,3,0,3,0,1,@Coley_Cee: Let me make couple tweets off cuzzo page so wont get in twter jaillmao bch dont trick me again
104,3,0,2,1,1,@ComedyPosts: Harlem shake  just an excuse to go full retard for 30 seconds
105,3,0,3,0,1,@ComedyTruth: amen miley &#128591; http://tco/P2Kb2tfyxrokay but she dont need to act like hoe just bc shes emotionally damaged foh
106,3,0,3,0,1,@CoryBandz: having one loyal female  wayyyyy better than having hoes  idc &#128175;
107,3,0,3,0,1,"@Crhedrys: Pussy licking pussy meow meow #StopWhePeople2014 &#128049; https://tco/KeegDCjS5K&#8221;

&#128533;"
108,3,0,3,0,1,@DBAB_Holloway: Check out our 12th man #CowboysNation even wh all those faggot ny fans in  stands
109,3,0,3,0,1,@DGotBricks: What happen to vixen ent bches got ran and threw to  side like foothill bch
110,3,0,3,0,1,@DaeDaviDavie: @whe_thunduh im  bch okay nudes pat &#128554;&#128527;&#128056; wow
111,3,3,0,0,0,@DevilGrimz: @VigxRAs youre fucking gay blacklted hoe Holding out for #TehGodClan anyway http://tco/xUCcwoetmn
112,3,0,3,0,1,@DiamondLoudKush:  fuck be wrong wh se bches Nobody knows
113,3,0,3,0,1,@Dietrich1892: Yall shut up:make me bch
114,3,1,2,0,1,@DionaIrh: hate Im pregnant type of bch
115,3,0,3,0,1,@DoYou_Q: Got bches in  DM but dont ever readem which  your top 3
116,3,0,0,3,2,@DomWorldPeace: Baseball season for  win #Yankees Th  where  love staed
117,3,0,3,0,1,@Dommoneek: Ltle stupid as bch dont fuck wh yoooooouuuu
118,3,0,3,0,1,@DreadheadAri: she really asked me that dead ass serious tho all could say was bch wheet LOL
119,3,0,0,3,2,@DunderbaIl: Im an early bird and Im night owl so Im we and have worms
120,3,0,1,2,2,@EdgarPixar: Overdosing on heavy drugs doesnt sound bad tonight do that pussy sh every day
121,3,0,0,3,2,"@El_Grillo1: Bulls Photographed As Lovely Fairy Tale Creatures http://tco/Q0Sm89oOLh&#8221;

y *are* fairy tale creatures"
122,3,0,3,0,1,@Ferocious_Ghost: @1stName_Bravo Aw fag dont tweet aw to me lol
123,3,0,0,3,2,@FloKid88: As long as  Lakers trash from now on could careless And thats real CC: @BENBALLER hahaha
124,3,0,3,0,1,@Frosstyy_: @h0rheyd didnt say anything tho ks me faggot
125,3,0,0,3,2,@FunnyPicsDepot: th  play soccer cheat on girls and wear khaki coloured cargos haircut http://tco/ZUai7qWBIR &#128514; yup
126,3,0,3,0,1,@G27Status: could go for fat ass bch on my lap same
127,3,0,3,0,1,@GEDMelle: 17 msed calls &#128544;&#128545;Das yo PO bch twter finna be screamn #FreeMoneyMelle
128,6,0,6,0,1,@GTM_Al: Ya side bch gotta know rules to th shanybody ask you my cousin from jersey thinkin bout moving lmmfao &#128514;&#128514;&#128514;&#128514;
129,3,0,3,0,1,@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://tco/4QE1hDkK8i&#8221; fuck yeah
130,3,0,3,0,1,@GirlThatsVonte: se hoes be thinking Meat wont slap ass &#128564;&#128075; ainna bruh
131,3,0,3,0,1,@GirlThatsVonte: Yall bches no edges be doing  most talking &#128553;&#128564;&#9995;&#128514;&#128514;&#128514;
132,3,0,3,0,1,@GirlThatsVonte: Yall still going trick or treating th year or nahhell yeah ima be da sweet tooth band steal bches bags sh
133,3,0,3,0,1,@Girllssues: wanna have sex wh my mom fuck her right in that pussy where came from damn you got hacked like fuck
134,6,0,6,0,1,@Gizzy_Jones94: If she ks wh her eyes open watch that bchlmfao
135,3,0,3,0,1,@Goofstroop: You woulda coulda shoulda ass hoe &#128563;&#128586;
136,3,0,3,0,1,@Gotti_LTF: Happy Bday Bch Ass Nigga @JetsAndASwherpreciate that bch roll up
137,3,0,3,0,1,@HBMostDope: @1Jayee @PipinHoes used to send that bch up
138,6,0,6,0,1,@HBMostDope: Ugly bches be like Im my own WCW duh bch you aint nobody elses&#128514;&#128514;
139,3,1,2,0,1,@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes nah throw no look passes lmao
141,3,1,2,0,1,@HealessFuck: Glad Im getting outta Atlanta Nothing but bunch of niggas in &amp; outta jail &amp; dumb bches wh mad kids fuckin em
142,3,0,1,2,2,@HermosaAlma: Th nt ghettos sma https://tco/MPAzQ3Jswf Im doing th idc
143,3,0,2,1,1,@HiImJoriB: would wife hoe only cuz we wouldnt care that we cheating in each or why force  relationship in  first place
144,3,0,3,0,1,@HornyFacts: Being single nt an excuse to be hoe @OneMs_Luu
145,3,1,2,0,1,@HoskinsTy96: Whe boy power bch black power bch
146,3,0,3,0,1,@Hudgens_11: Lets get drunk get blowed sp sh spark blunts &amp; fuck hoes Bro whe dudes have no chill
147,3,0,3,0,1,@IScoutGirls: @verbally_abrupt bch where been Around  world and back Where you been
148,3,0,3,0,1,@ItsYahBoiRay: @anelylove if dont get my dick sucked at yo pay by bad bch Im fr gone set  off &#128514;&#128514;&#128514;&#128514; *by @anelylove *
149,3,0,2,1,1,@Itsyesie: #oomf  soooo cute But he probably has hoes on him lot
150,3,0,3,0,1,@JAYten9: In every caoon irs alway @_nuffsaid15 saving se hoes lmao http://tco/9uKD8wtZ6x lmao damn captain SaveAHoe
151,3,0,1,2,2,@JReebo: Who wants to get re nose in se bad bo #scally #chav #sockfeth #stinking http://tco/FeQxgN0W6I hot sox and legs
152,3,0,3,0,1,@JamesyNBA: wh was bch like my bror keezy &#128530; ooooow bet you do
153,6,0,6,0,1,@JasminePore: If you dressed up as cat for Halloween you are basic or pussy
154,4,0,4,0,1,@Jewelxo: Can pornhub just get gaming stream feature so se dumb bches can gtfo @Pornhub get on  Katie&lt;3
155,3,0,3,0,1,@JoeBudden: stop being scared to choke her during sex bch ass niggas She&#8217;ll like  Says  guy who hs women out of bed FOH
156,3,0,3,0,1,@Johnny55Perez: @whe_thunduh ha well iguess make hoes loyal bro yll never be loyal that hoes my nig
157,6,0,6,0,1,@KazAtta: @1TAKEHOV Oh man 5 am you off molly ho where  fuck ya seed at #fixed
158,3,0,3,0,1,@KelsieBelsi: Youre not man if you refer to every girl as bch
159,3,0,3,0,1,@KeyshawnSwag: Lmfao th cat staed beating  sh out of me my nigga finally got some pussy MY NIGGA
160,3,0,1,2,2,@KeyshawnSwag: Peel up peel up bring  back up rewind back where Im from move Shaq from  line ooooow who tf said that trash
161,3,0,2,1,1,@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
162,3,0,3,0,1,@KingHendo95: @VonDreaam naw my old tape new cover  my upcoming mixtape  #KingOfHill Yeah Im waing on that hoe Mayne
163,3,0,3,0,1,@KingTeej_: Ol diy foot ass bches th was too funny to me
164,3,0,3,0,1,@King_Shawn_6: @whe_thunduh thats where get my yellow flags for being amazing &#128079;&#128524; HELL YEAH NIGGY
165,3,0,3,0,1,@KsMySmilee: Dont got time for bches to be actin iffy
166,3,0,0,3,2,@KnightfanNeal #UCFPINKPAY come on stay alive knights nation Th  still  early bird special #ComeAtMeUT
167,3,0,2,1,1,"@KyraNadiya_: se hoes aint loyal ; no aint http://tco/h1UBsVbkGl

Smfh &amp; wonder why nobody decent wants"
168,3,0,3,0,1,@LCTJ: Bruh you studs keep thinking Im soft as hell Ask ya girl how many times she screamed she was my bch Oh okay STFU BYE HOE
169,3,0,3,0,1,@LODYCASH: dry pussy bches always blame  on  condom&#128514;&#128079;&#128514;&#128079;&#128514;
170,3,0,3,0,1,@LUNAraps: shut yo bch ass up https://tco/IemN1u0gm5 &#128557;&#128514;
171,3,0,3,0,1,@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes cant even text back
172,3,0,3,0,1,@Latrobemark: You love se hoes more money wats wrong se niggas
173,6,0,6,0,1,@LeBronVuton: loyal bch from  burbs whout daddy sues  like finding holographic Mewtwo sounding like me over re lol
174,3,0,3,0,1,@LiLFridayHOE: Easy cum easy hoe Thats fact 
175,3,0,3,0,1,@LifeAsBros: Charlie Sheen  too real http://tco/gGGdK3kOV7 major fucking respect for Charlie Sheen
176,3,0,3,0,1,"@Lightskingawdd: Wh had bae &#128533;

You got all  hoes tho"
177,3,0,3,0,1,@Lil_Mike_12: Fuck twerking bch can you cook 
178,3,0,3,0,1,@Linniekravz: @WesGodLaFlare bch wtf http://tco/DaSmycxODB
179,3,1,2,0,1,@Lipe__Great: &#8220;@h0rheyd: @Lipe__Great: Shut up zoe fight me pussy&#8221; for zoe Im good man You are good maam Move along now
180,3,0,3,0,1,@LolaaIsDope: Lmao fucking snake bches @ em
181,3,0,3,0,1,@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525; damn &#127807;&#128064;&#127807;
182,3,0,0,3,2,@MLBNetwork: Stay tuned to @MLBNetwork for an update on  repo that @Yankees 1B @teixeiramark25 will be out 8-10 weeks @dliming35 #bum
183,3,0,0,3,2,@M_Rad: &#8220;@DezDLT: play soccer cheat on girls and wear khaki coloured cargos haircut http://tco/tYCIhD6PkW&#8221; yes lmfao@soccerboy_04
184,3,0,3,0,1,@MadFlyentt: Oregon chokes every year get off  field trash ass program RFT
185,3,0,3,0,1,@MannyDiesel: Def not cowboy lol  @AofFloyd: Terrell Owens was  best Eagle &amp; Cowboy ever dude cried like bch on tv over Romo
186,3,3,0,0,0,@MarkRoundtreeJr: LMFAOOOO HATE BLACK PEOPLE https://tco/RNvD2nLCDR Th  why res black people and niggers
187,3,0,3,0,1,@Master11_: @20ToLife_ @GabrielaStarr How could do th to me bch potent
188,3,0,1,2,2,@MaxMayo77: http://tco/3Jk4kR44X3 psed lad past out would lick diy soles while he slept
189,3,0,1,2,2,@MaxMayo77: http://tco/PrrskknqRv love frat boy/ soft long soles
190,3,0,1,2,2,@MaxMayo77: http://tco/XpSC3makgJ sexy lad wh hot soles and arches
191,3,0,3,0,1,@MegamindNick: @whe_thunduh nah fam gotta cheat wh  hoes depends on  female feel
192,3,0,0,3,2,@Mesha_nojas: @_Vontekidd &#128079;&#128079;&#128079;&#128079;&#128588; got hicks lol
193,3,1,2,0,1,@Migsmichelen: Th new twter  confusing  sh out of me Go back to south america bch
194,3,0,3,0,1,@Miiko_x3: Toto means ass or vaginaI think pussy cause toto santi  like nasty pussy
195,3,0,3,0,1,@MikelaHenry: but what if he actually does choose  ugly bch over you &#58381;Her ass must be fat
196,3,0,3,0,1,@MileyCyrus: bch couldnt kill my vibe if ya tried &#127752;&#127752;&#127752; why love miley :*
197,3,0,3,0,1,@Montrell_: Im tired of bches saying look mean &#128530; nigga you big af wear tight shis and grim everybody
198,6,0,0,6,2,@MorJones: 10 birds your grandkids may never see thanks to climate change http://tco/XqmXHkAsWt http://tco/RbITeGRnhm #Climate
199,3,0,3,0,1,@MvckFadden: Stay beautiful you bch
200,3,0,3,0,1,"@NICKIMINAJ: #WutKinda

purple Ceeeleeeman th gurl was jus playin on  stupid hoe  track But in still shted on sum gurls"
201,3,0,3,0,1,@NastyCopper: Money getting taller and bches getting blurry
202,3,1,2,0,1,@NewsomeJade: aint never seen bch so obsessed wh nigga&#128514; Im obsessed wh mine &#128529;
203,3,0,2,1,1,@Nicholas_ted33: Kobe stay talking trash But lets not forget http://tco/VH4tnEkvTP @J_Austin12 meant to do th one Smh
204,3,2,1,0,0,"@NoChillPaz: At least Im not nigger http://tco/RGJa7CfoiT

Lmfao"
205,3,0,3,0,1,@No_FAKINGG: People always asking me what Im mixed wh She bad asian bch lol
206,3,2,1,0,0,@NotoriousBM95: @_WhePonyJr_ Ariza  snake and coward but at least he nt cripple like your hero Roach lmaoo
207,3,0,1,2,2,"@OSAY__aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL

that show was everything tf"
208,6,0,5,1,1,@OfficialReplay: am lowkey tired if you tired be quiet and go to sleep hoe
209,3,0,3,0,1,@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions @PRAYINGFORHEAD&#8221; http://tco/cussDJesRK
210,3,0,3,0,1,@PRETTyBOSs_BRAt: We dont love se hoes &#128080;&#128581;
211,3,0,3,0,1,@PatrickQuelo: If yo girl cant have homeboys you ol weak bch ass nigga
212,3,0,3,0,1,@Patsfanjoe32: @d_palomino52 think worst advice gave you was  dont be pussy and speed up lol
213,3,0,3,0,1,@PoemsPorn: Quote th tweet wh your favore animalpussy
214,3,0,3,0,1,@Poetic_Success: hate when strippers tell you yre dancers Hoe ballet dancers dont pop ir pussy to Beethoven You STRIPPER
215,3,0,3,0,1,"@Poffalicious: Andrewbryant: Poff has double vion after 2 beers
Poff:  Double pussy &#128526; smh"
216,3,0,3,0,1,"@Poobie_: When bches TWERK on  computer

ME: In ya &#128089; in ya damn &#128089;&#8252;&#65039;"
217,3,0,3,0,1,@ProdsJewel_: &#8220;@sreadpeace: &#8220;@yungmindless: @PeacePunkPrince Prince THIS  http://tco/EPHRWxMBHr&#8221; nobody takin bch
218,3,0,1,2,2,@QUAN1T0: 61% of welfare/government aid  claimed by whe people So yall black slander  trash now
219,3,0,3,0,1,@QUAN1T0: se bches dont care just play that role
220,6,0,6,0,1,"@Queen_Kaaat: It took while for you to find me but was hiding In  lime tree
@Iemonaids bch in da wrong tree bro"
221,6,3,2,1,0,@NBA: Drakes new shoes that will be released by Nike/Jordan Yes res glter on  shoes http://tco/QCtPLxHEXM dudes fag
222,3,0,1,2,2,@RachieSoul: @DizzleOfficial inna di ghetto You alone lmaoo
223,3,0,1,2,2,@RamBoutIt: &#8220;@Master11_: @20ToLife_ @RamBoutIt hoes Austin&#8221; teach us AustinI teach how to get curved Thats all know
224,3,1,2,0,1,@ReacheCLIMAX: bches cant cook but know how to suck dick  s/to  ones that can do both
225,3,0,3,0,1,@RenegadeMo: Fat hoes get chose lol
226,3,0,3,0,1,@RiahSM: #hoesaintloyal well yre hoesno one expects to be loyal
227,3,0,3,0,1,@RhaaWilliams: @TRESHON_SCROOGE @_Neverustt ol bch ass http://tco/AmcOinY0wG
228,3,1,2,0,1,@RnadJorell: Bruh im tired of niggas retweetin Miley Cyrus naked that bch aint no types of bad lmaooo
229,3,0,3,0,1,@SacTownProdigy: Just because tony romo at  mavs game dont mean he still not bch lmao Fuk cowgirls lol bch fuck you
230,3,0,3,0,1,"@SamJLayman : Holy sh Freddie Highmore was in Charlie and  Chocolate Factory
Me: *rolls on  floor laughing*"
231,3,1,2,0,1,@Samirahusic_: dont want to have sex wh my gf because feel like Im using her - anonymous Whata faggot
232,3,0,3,0,1,@SexualGxfs: @ One of your followers wh th &#128525;&#128553; http://tco/F1TJl9xnCT @ somebody bch if you dont
233,3,0,3,0,1,@Shaa_Jenkins: If ya bch always bching clearly she care Or just an annoying Bch
234,3,0,3,0,1,@ShanTaughtHer: se catfh hoes thinkin slick But niggas catching on &#128524;
235,3,0,3,0,1,@SheWentToJordan: Cant worry about bch that aint worried bout me #real
236,3,0,3,0,1,@ShowArrive: Side hoes are for insecure niggas that cant handle real one
237,3,0,3,0,1,@Shun_stokes: &#128514;&#128514;&#128514;&#128514; @bluprint_4: Lmao Th bch come scooting in  tent like she about to fuck some sh up &#128557;&#128557;&#128557;
238,3,0,3,0,1,@Shun_stokes: My cousin said he share hoes wh brors He said sharing  caring and he love brors &#128514;
239,3,0,3,0,1,@SlimGirl_Probz: im hungry but ionn wanna spend my money on food&#128530;Broke hoe problems &#128514;&#128514;&#128514;&#128128;
240,6,0,6,0,1,@SmeegBaby: Dese hoes be LYIN to all of us nigga
241,3,0,3,0,1,@SnakecharmsDump: http://tco/4b427dQZCV oh yeah fuck that bch
242,3,0,1,2,2,@SposCenter: Eli Manning just threw NFL-leading 27th interception of  season Lmao trash
243,3,0,1,2,2,@SposCenter: USC senior RB Anthony Brown calls head coach Steve Sarkian ract and qus team &#187; http://tco/JOOsdSubIR hes bch
244,3,0,3,0,1,@StellaTex: Guess what also have zero time for your mansplaining Adios Stfu pussy
245,3,0,1,2,2,@Stephenwildboy: Chilling &#128069;&#8482; http://tco/mik3iPNle6 sexy scally lad
246,3,0,3,0,1,@Strap__: aint sharing no bch if you mines you mines &#128175;
247,3,0,3,0,1,@SukMySweetness: money only impress  simple broke bches
248,3,0,2,1,1,@Sylvieamx: #Pces will never be anybodys bch dont let people control or change Rigghhht
250,3,0,1,2,2,@TEE_JONEZ: @16stanleys @KingCuh tuku ho idk blah blah blah &#128514;&#128514;&#128514;
251,3,0,1,2,2,@TEE_JONEZ: @KingCuh @16stanleys Im not mad cuh hahaha suure tuku ho &#128514;&#128514;
252,3,0,3,0,1,@TayKnosBest: se hoes  crazy
253,3,0,3,0,1,@Taylorr_Babee: You aint ever gonna be slice bch Kevin ha (:
254,3,0,3,0,1,@ThatniggaTroy: Oomf so fuckin fine tho &#128553; dam @ her dont be no bch
255,3,1,2,0,1,@GamerKingKev: wonder if  girl that gave head to 24 boys for drink in magaluf has twter she probly sends nudes for fags
256,3,0,3,0,1,"@NewSAT: #NewSATQuestions
Yeah bch yeah bch call me _______:
a) Maybe
b) Steve-O
c) Later
d) Jesse Pinkman
@machinegunkelly"
257,3,0,3,0,1,@NymphoTweets: Hickies in between her thighs right by her pussy &gt;&gt;&gt; Its only right
258,3,0,3,0,1,@OneMs_Luu: Would you still love me when Im no longer young and beautiful No Ugly monkey ass
259,3,1,2,0,1,@RealRickyB21: @JetsAndASwher @Gook____ yall come through  frontbch aint coming
260,3,1,2,0,1,@RealRickyB21: @JetsAndASwher faggot bch http://tco/2HyyAbk4eH
261,3,0,3,0,1,@_Realt_Sam: @Madrid2_ yea Im on my iPad dont work th Friday Lets ball th faggot up @TropicalBlanketi work 2-5
262,3,0,1,2,2,@o17100: http://tco/BYj1HOyhmG th scally lad would get 
263,3,2,1,0,0,@oMaxximus: #GerrysHalloweenPay http://tco/3ycrSrnjHc Halloween was yesterday stupid nigger
264,3,0,2,1,1,@oMaxximus: Chrus still supahot tho *walks up to teacher wh test drops test in that bch fohead* http://tco/nb5VgdssgI
265,3,0,3,0,1,@Thornton25: &#8220;@KantKeepAhBYTCH: love eating pussy lol never get full lol&#8221; can eat that sh forever lol and ever
